district,mandal,panchayat,num,lon,lat,alt,acc,drumseeded,dup,sort_rand,masked_id
"WANAPARTHY","AMARCHINTHA","Chandranaik Thanda",5,77.76283409446478,16.38750031873236,0,0,0,0,.030197859,167
"KARIMNAGAR","RAMADUGU","Deshrajpalle",6,79.0678734,18.5299722,239.7,3.668,0,1,.030550813,254
"JAGTIAL","PEGADAPALLE","Yellapur",8,79.10316,18.6887698,263.5,3.733,0,0,.030668052,337
"NAGARKURNOOL","BIJINAPALLY","Gouraram",5,78.13112529999999,16.5786341,480.6,3.9,0,0,.031259924,115
"KARIMNAGAR","GANNERUVARAM","Kasimpeta",5,79.0488493,18.3528402,298,3.9,0,0,.0316124,234
"MAHABUBNAGAR","CHINNA CHINTHA KUNTA","Appampalle",1,77.8105264,16.4942232,275.45,6.75,0,2,.031707145,39
"JAGTIAL","BEERPUR","Thungur",2,78.98599129999999,19.0101262,210.4,3.75,0,0,.031740069,265
"KARIMNAGAR","GANGADHARA","Sarvareddypally",3,79.07107480000001,18.6346695,251.3,4.311,0,0,.031857483,221
"JAGTIAL","PEGADAPALLE","Domalakunta",3,79.0100652,18.7090301,209,3.314,0,0,.031967606,339
"MAHABUBNAGAR","BHOOTHPUR","Sheripally(H)",9,78.0228851,16.6882978,375.4,4.447,0,0,.031969052,47
"NAGARKURNOOL","PEDDAKOTHAPALLE","Kalwakole",1,78.3123303,16.1887594,263.305,9.736000000000001,0,1,.03201101,139
"PEDDAPALLI","PEDDAPALLE","Cheekurai",4,79.3902014,18.637613,142.3,3.636,0,0,.032239798,356
"MAHABUBNAGAR","HANWADA","Gudimalakapur",4,77.9700907,16.8400941,499.4,4.464,0,0,.032501671,56
"JAGTIAL","MEDIPALLE","Ragojipet",1,78.8033999,18.7030589,374.5,3.9,0,0,.032641988,329
"KARIMNAGAR","GANGADHARA","Garshakurthy",2,78.9629472,18.5136908,286.3999938964844,3.9,0,0,.033687923,241
"KARIMNAGAR","KARIMNAGAR RURAL","Cherlabuthkur",4,79.20081450000001,18.506087,0,104.1,0,2,.033769254,243
"JAGTIAL","Endapalli","Kothapet",5,79.2052293,18.7661585,209.4,3.9,0,0,.033791013,37
"JAGTIAL","IBRAHIMPATNAM","Dabba",8,78.5593267,18.872335,309.6,3.9,0,1,.034345694,297
"JAGTIAL","DHARMAPURI","Donur",1,79.0398174,18.974893,192.8,3.9,0,1,.034744255,15
"NAGARKURNOOL","BALMOOR","Balmoor",3,78.5573855,16.3168333,479.5,3.9,0,0,.035651784,114
"JAGTIAL","MALLAPUR","Sirpoor",1,78.68542669999999,18.933385,298.8,3.9,1,1,.035718352,319
"JAGTIAL","Endapalli","Gullakota",7,79.15737590000001,18.7879949,203.1,3.9,1,1,.035806272,346
"JAGTIAL","KODIMIAL","Kondapur",15,78.8962406,18.6180523,414.3,4.6,0,2,.03615395,21
