c3_crop_name_kharif,crop_name,varities_grown_khrf,varities_grown_rabi,varities_grown_khrf23,plant_date_kharif,plant_date_rabi,plant_date_sumr,plant_date_kharif23,key,crop_area_kharif23,crop_area_kharif,crop_area_rabi,crop_area_summer
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Cotton Dora Sannalu (MTU 1010),99,07jul2023,07jan2023,,07jul2023,uuid:05a8abf3-1597-4ebd-8b65-9e6d5657792b,30,30,30,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),29,Telangana Sona (RNR 15048),29,23jun2022,25jul2023,,25jul2023,uuid:0604a8aa-727c-45ac-8a1a-629b82528bc7,3.5,3.5,3.5,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),29,,29,25jul2023,,,25sep2023,uuid:0604a8aa-727c-45ac-8a1a-629b82528bc7,3.5,3.5,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,05jul2022,04nov2022,,03jul2023,uuid:06071887-b72a-4cd7-9fcf-204e77b42a21,.75,.75,.75,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,09jul2023,10dec2022,,07jul2023,uuid:0624d9ff-54ca-4be7-9be8-7d1eeb0354bb,2.25,2.25,2.25,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,,99,19jun2022,,,16jul2023,uuid:06283efa-154a-4606-b28d-78c937320df3,3.125,3.125,0,0
1001,groundnut,,,,,,,,uuid:06283efa-154a-4606-b28d-78c937320df3,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,99,,,,07jul2023,uuid:062879d0-f429-426b-8b1b-39813a410e90,1,0,0,0
1011,డ్రమ్ సీడర్ పధ్ధతి లో వరి ( drum seeder paddy),99,Other,,06aug2022,07jan2023,,,uuid:062879d0-f429-426b-8b1b-39813a410e90,0,1,.55000001,0
1003,sesamum (til),,,,,,,,uuid:062879d0-f429-426b-8b1b-39813a410e90,0,0,.40000001,0
1013,దమ్ము చెయ్యకుండా నేరుగా విత్తిన వరి (paddy),1,,1,24aug2022,,,25jul2023,uuid:0635985f-8956-4610-9e0e-c96b60808f8d,.5,.5,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,14jun2022,14nov2022,,14may2023,uuid:0655b92d-d204-4e14-bac8-700698ef12b4,2,2,2,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,05jun2023,05nov2022,,05may2023,uuid:06602de0-37ae-49d6-8a5f-66aa9f237ab9,1,1,1,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,,,25jul2022,,,,uuid:066a1459-ce16-4032-93c6-899c60a3b072,0,.97500002,0,0
203,మినపప్పు (urad),,,,,,,,uuid:066a1459-ce16-4032-93c6-899c60a3b072,0,2,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Cotton Dora Sannalu (MTU 1010),1,05jul2023,04jan2023,,05jul2023,uuid:0693832f-7b7e-48ae-9366-e7afc92422ce,1,1,1,0
1001,groundnut,,,,,,,,uuid:0693832f-7b7e-48ae-9366-e7afc92422ce,0,0,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),2,06jul2022,13dec2022,,26jun2023,uuid:06aff491-992f-49e0-b4b7-ba4e8296c93a,1.175,1.175,1.175,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),12,Cotton Dora Sannalu (MTU 1010),12,26jun2022,27nov2022,,29jul2023,uuid:070065d6-7ea3-4b9a-b9ff-8d76595e7560,1.5,1.5,1.5,0
104,మొక్కజొన్న (Maize),,,,,,,,uuid:070065d6-7ea3-4b9a-b9ff-8d76595e7560,5,4,0,0
801,other food crop,,,,,,,,uuid:075279ac-13aa-4e02-8f27-91d2e16f6e18,1.75,0,0,0
801,other food crop,,,,,,,,uuid:075279ac-13aa-4e02-8f27-91d2e16f6e18,1.75,0,0,0
1101,పత్తి,,,,,,,,uuid:075279ac-13aa-4e02-8f27-91d2e16f6e18,1.75,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),99,Other,99,11jun2022,08nov2022,,10jul2023,uuid:07551550-c1f2-4010-bf3c-96641b4c4598,1.75,1.75,1.75,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,,1,10jul2023,,,06aug2023,uuid:0762e1ff-686d-453d-9d88-6dc7a2283397,1,1,0,0
1101,పత్తి,,,,,,,,uuid:07902422-fcf2-4665-879d-e6bc7d9e4293,6,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),2 12,Cotton Dora Sannalu (MTU 1010),2 12,26jul2022,03jan2023,,24jul2023,uuid:0797a46d-37c9-494e-b522-0e4b28efeaa4,3,3,3,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),,,,,,,,uuid:0797a46d-37c9-494e-b522-0e4b28efeaa4,0,0,0,0
1014,నారుపోసిన పధ్ధతి లో వరి (paddy),1,Telangana Sona (RNR 15048),1,18jun2022,15dec2022,,18jul2023,uuid:07a5df41-1fb0-42ce-aa54-0f68f37fd686,1,1.55,1.55,0
